Video_Title,Comment_Text,Comment_Date,Like_Count,Language_Label,Sentiment_Score,Sentiment_Label,Nature_Aligned
"21 दिन में 15-20 किलो वजन कम ! मात्र 3 उपाय | बिना जिम , बिना दवा | NDS by BVChauhan",pranamm guruji,2026-02-17T14:00:53Z,0,English,0.0,Neutral,1
"21 दिन में 15-20 किलो वजन कम ! मात्र 3 उपाय | बिना जिम , बिना दवा | NDS by BVChauhan",wait badana kysa,2026-02-17T14:11:38Z,0,English,0.0,Neutral,-1
"21 दिन में 15-20 किलो वजन कम ! मात्र 3 उपाय | बिना जिम , बिना दवा | NDS by BVChauhan",आपकी डाइट से वजन बिल्कुल कम हो गया।बढ़ाने के उपाय बताओ आदरणीय,2026-02-17T13:14:06Z,0,Hindi,0.0,Neutral,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,junagadh ma seminar karo,2026-02-17T12:52:24Z,0,English,0.0,Neutral,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,pranamm guruji,2026-02-13T15:34:51Z,2,English,0.0,Neutral,1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,thank you for valuable speech,2026-02-13T12:56:00Z,0,English,0.6808,Positive,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,jai ho gurudev,2026-02-13T20:37:14Z,0,English,0.0,Neutral,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,,2026-02-13T18:38:09Z,1,English,0.0,Neutral,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,only nds,2026-02-13T13:31:49Z,0,English,0.0,Neutral,-1
45 की उम्र में 25 की फुर्ती ! बस ये एक नियम बदल लें  | NDS Energy Secret | NDS by BVChauhan,pranam guruji,2026-02-14T03:57:22Z,0,English,0.0,Neutral,1
She Followed NDS Since 2012  | Her Life Completely Changed ! #NDS #NewDietSystem,thank you renukaji for sharing your nds experience it is so much inspiring,2026-02-13T23:50:41Z,0,English,0.8115,Positive,-1
She Followed NDS Since 2012  | Her Life Completely Changed ! #NDS #NewDietSystem,,2026-02-12T12:54:05Z,1,English,0.0,Neutral,-1
She Followed NDS Since 2012  | Her Life Completely Changed ! #NDS #NewDietSystem,awesome,2026-02-12T21:45:04Z,0,English,0.6249,Positive,-1
She Followed NDS Since 2012  | Her Life Completely Changed ! #NDS #NewDietSystem,1,2026-02-14T09:23:53Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,clean,2026-02-11T09:47:03Z,1,English,0.4019,Positive,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,it s true sir,2026-02-10T16:53:16Z,1,English,0.4215,Positive,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,,2026-02-13T02:59:56Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,,2026-02-10T23:03:28Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,koi bachha h jo type 1sugar se reverse hua h to uska video chanal pe daliye,2026-02-11T09:32:42Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,pranamm guruji,2026-02-10T13:32:15Z,0,English,0.0,Neutral,1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,ए क्रिया कइसे करनी है कृपया बताएं,2026-02-12T13:50:40Z,0,Hindi,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,sanjivini pot kha se le,2026-02-11T09:52:40Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,ek saal ka hua tbhi use type 1sugar hua 7saal ka tha thyroid bhi ho gya us time se ands follow kr rha h lekin abhi tk koi bhi result nhi mila 3yers se esi system pr chal rha h guruji kuch smjh nhi aarha thyroid ki goli bhi ands me aane pr bnd h,2026-02-13T12:53:29Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,sahi aahar le or svasth rahe fal se ham svasth rah sakte hai,2026-02-10T14:48:47Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,fal khao nirogi raho,2026-02-10T14:56:13Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,guruji theen saal ho gaye hai ands krte hua pr abhi bhi type 1sugar or thyroid reverse nhi hua aage kaise kya krna h dhanyawad kripya marg darsan digiye anima bhi kitne saal krna h,2026-02-11T09:29:54Z,0,English,0.0,Neutral,-1
सिर्फ 1 क्रिया और सारे रोगों से छुटकारा ! क्या है संजीवनी क्रिया का सच | Instant Detox of Full Body,dip diet se sugar reverse you tube video check karen,2026-02-12T03:28:30Z,0,English,0.0,Neutral,-1
